Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Term_Years,log_CIHR_Contribution,Year
"Levasseur, Mélanie",Université de Sherbrooke,Operating Grant: Population Health Intervention Research,201510GIR,Operating Grant: Population Health Intervention Research,"Capturing how age-friendly communities foster positive health, social participation and health equity: Towards identification of key components and processes that promote population health in aging Canadians",246000,4000,2 yrs 0 mth ,0.0,12.413090879946887,2015
"Sharma, Sangita; Kandola, Kami; Kurtz, Donna L",University of Alberta,Op Grant: COVID-19 Rapid Research FO - Social Policy and Public Health Responses,202005VR5,COVID-19 Rapid Research - Social Policy and Public Health Responses,"Capturing the anticipated/unanticipated consequences of COVID-19 (C19) and C19 prevention, management, and treatment strategies (C19PS) among Indigenous peoples (IP) in Arctic communities (AC)",1517380,0,1 yr 0 mth ,1.0,14.232496380389502,2020
"Savard, Claudia",Université Laval,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201810GSD,Doctoral Research Awards - B,Caractérisation des variables nutritionnelles et hormonales durant la grossesse: associations avec le profil métabolique.,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2018
"Papineau, Elisabeth",Institut national de santé publique du Québec,Project Grant,201603PJT,Project Grant Competition,Caractérisation et représentations de l'accessibilité physique aux jeux de hasard et d'argent au Québec: un outil pour la prise de décision et la création d'environnements favorables.,305801,0,4 yrs 0 mth ,0.0,12.63069311267808,2016
"Schmitz, Norbert",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Catalyst Grant: Analysis of CLSA Data,201909ACD,Catalyst Grant: Analysis of CLSA Data,"Cardiometabolic dysregulation, depression and cognitive functioning: longitudinal associations in the CLSA",70000,0,1 yr 0 mth ,1.0,11.156264806643742,2019
"Levesque, Linda E; Gilron, Ian","Queen's University (Kingston, Ontario)",Operating Grant: Priority Announcement (IPPH),200809IPA,"Public, Community & Population Health - A",Cardiovascular Outcomes of Drug Treatment for Neuropathic Pain and Fibromyalgia:  A Population-based Cohort Study.,100000,0,1 yr 0 mth ,1.0,11.51293546492023,2008
"Garg, Amit; Clark, William F",London Health Sciences Centre Res. Inc. (Ont.),Operating Grant: Prevention of Cardiovascular and Respiratory Diseases,200904PCR,Operating Grant: Prevention of Cardiovascular and Respiratory Diseases,Cardiovascular disease after acute gastrointestinal infection: Etiology and risk reduction with preventative care,90559,0,1 yr 0 mth ,1.0,11.41376789343701,2009
"Smith, Brendan; Manuel, Douglas G",Public Health Ontario (Toronto),Project Grant,201709PJT,"Public, Community & Population Health 2",Cardiovascular disease attributable to nutrition-related causes: Estimating future burden and evaluating nutrition policy options for maximizing population health benefit in Canada,325125,0,3 yrs 0 mth ,0.0,12.691968078486322,2017
"Perruccio, Anthony; Badley, Elizabeth M",University Health Network (Toronto),Catalyst Grant: Analysis of CLSA Data - ICRH,202209AC1,Catalyst Grant: Analysis of CLSA Data,Cardiovascular disease onset in osteoarthritis: a longitudinal investigation of the role of sex and multijoint symptoms,70000,0,1 yr 0 mth ,1.0,11.156264806643742,2022
"Riva, Mylene",Université Laval,Banting Postdoctoral Fellowship Program,201011BPF,Banting Postdoctoral Fellowships Program,Cardiovascular health in Canada's northern communities: examining the influence of geographic life environment,140000,0,2 yrs 0 mth ,0.0,11.849404844423074,2010
"Chen, Hong",Public Health Ontario (Toronto),Operating Grant,201309MOP,"Public, Community & Population Health 2",Cardiovascular incidence from exposure to outdoor air pollution,193947,0,2 yrs 0 mth ,0.0,12.175345360878879,2013
"Margolis, Rachel",University of Western Ontario,Team Grant: More Years / Better Lives,201604MYB,Special Cases,"Care, retirement and wellbeing of older people across different welfare regimes",120232,0,3 yrs 0 mth ,0.0,11.697186805832652,2016
"Fairman, Kimberly D","Institute for Circumpolar Health Research (Yellowknife, NWT)",Food Security and Climate Change in the Canadian North,201810FFS,Food Security and Climate Change in the Canadian North - Development and Engagement Grants,Caribou Decline and Food Security for the Tlicho People of the Northwest Territories,150000,0,2 yrs 0 mth ,0.0,11.918397239722838,2018
"Wolfson, Michael C",University of Ottawa,Team Grant: More Years / Better Lives,202009MYB,Special Cases,Caring Over the Lifecycle: the Roles of Families and Welfare States Today and Into the Future (WELLCARE),131943,0,3 yrs 0 mth ,0.0,11.790132869127989,2020
"Sharma, Sangita; Corriveau, André",University of Alberta,Project Grant,201810PJT,Indigenous Health Research,Caring and Responding in the Northwest Territories,100000,0,1 yr 0 mth ,1.0,11.51293546492023,2018
"Amon, Cristina; Bannon, Karen; Bazylak, Jason; Jeffrey, Melanie A",University of Toronto,Team Grant: HCIS - LOI - Urban Indigenous Health,202110LT5,Team Grant : Healthy Cities Implementation Science (HCIS) Team Grants - LOI,"Caring for the Thunderbird's Nest:  Characterizing and Monitoring Inequitable Exposures to Ground and Air Pollution with Fort William First Nation, Using Machine Learning Tools",24680,0,1 yr 0 mth ,1.0,10.11378899583704,2021
"Visser, Florentius; Worthington, Catherine A",Direct Payment,Catalyst Grant: HIV/AIDS CBR Program - General Stream,201004CDE,HIV/AIDS Community-Based Research - General Stream (Merged),Catalyst Grant - Assessing Outcomes for PLWHA in a Supported Living Setting: Developing a Community Partnership,29768,0,1 yr 0 mth ,1.0,10.301222862582351,2010
"Kirk, Sara F",Dalhousie University (Nova Scotia),Planning and Dissemination Grant - Institute Community Support,202402PCS,Planning and Dissemination Grants,Catalyzing Action on the Commercial Determinants of Health in Atlantic Canada,19750,0,1 yr 0 mth ,1.0,9.890959401958858,2024
"Pfaff, Kathryn A",University of Windsor (Ontario),Planning and Dissemination Grant - Institute Community Support,202202PCS,Planning and Dissemination - Healthy Cities Research Initiative,Catalyzing Community Connection - Population Health Cross-Border Project,19981,0,1 yr 0 mth ,1.0,9.902587147292964,2022
"De Leeuw, Sarah; Moineau, Geneviève",University of Northern British Columbia,Catalyst Grant: Quadruple Aim and Equity,202110QAE,Catalyst Grant : Quadruple Aim and Equity,Catalyzing H.E.A.L. Medicine: Humanities Education and Anticolonial Learning for the Transformation of Medical Learning and Healthcare Delivery in Canada,100000,0,1 yr 0 mth ,1.0,11.51293546492023,2021
"Castleden, Heather E; BATES-EAMER, NICOLE; Gislason, Maya K; Hoogeveen, Dawn; Kang, Simrat A; Lewis, Diana M; Masuda, Jeffrey R; Wiebe, Sarah M",University of Victoria (British Columbia),Catalyst Grant: CPHO Report - General Pool,202303FO4,Catalyst Grant : Chief Public Health Officer (CPHO) Report 2023,Catalyzing Intersectoral Collaborations on the Intersectional Public Health Impacts of Climate Displacement: Insights from British Columbia and Beyond,124821,0,1 yr 0 mth ,1.0,11.73464400143289,2023
"Mayan, Maria Jane; Marchand, Shannon; Drummond, Jane E; Schnirer, Laurie A",University of Alberta,Knowledge Translation Supplement,201110KTB,"Meetings, Planning and Dissemination Grant: End of Grant Knowledge Supplement",Catalyzing the uptake of research: Embedding the roles of knowledge broker and communications specialist in an intersectoral partnership,99510,0,1 yr 0 mth ,1.0,11.508023469799996,2011
"Steele, Russell J; Shrier, Ian",McGill University,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Causal Modeling of Recurrent Injury Data,181250,0,3 yrs 0 mth ,0.0,12.10763808994308,2014
"McGavock, Jonathan M; Ethier, Jean-Francois; Fischer, Jaimy; Lau, Darren; Lipscombe, Lorraine",University of Manitoba,Op Gr: HCRI - Data Analysis Using Existing Databases and Cohorts -  General Pool,202311DA8,Data Analysis Using Existing Databases and Cohorts,Causal effects of new urban trails on CVD health in urban dwelling Canadians,99553,0,1 yr 0 mth ,1.0,11.508455489498777,2023
"Babchishin, Kelly M",University of Ottawa,Banting Postdoctoral Fellowship Program,201409BPF,Banting Postdoctoral Fellowships Program,Causal risk factors for sexual offending: Evidence from a longitudinal study,140000,0,2 yrs 0 mth ,0.0,11.849404844423074,2014
"Kuk, Jennifer Linche; Ardern, Chris I","York University (Toronto, Ontario)",Operating Grant-PA: INMD Start Up Funds (bridge funding) - New Investigators,201303PNI,"Public, Community & Population Health 2",Causes and Implications of Metabolically Healthy Obese,100000,0,1 yr 0 mth ,1.0,11.51293546492023,2013
"Vitaro, Frank; Boivin, Michel; Brendgen, Rosemarie M","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Operating Grant,201203MOP,Social & Developmental Aspects of Children's & Youth's Health,Causes and consequences of co-occurring gambling involvement and substance use during adolescence: A process-oriented genetically-informed study,745765,0,5 yrs 0 mth ,0.0,13.522167157058005,2012
"Letourneau, Nicole L; Bell, Rhonda C; Dewey, Deborah M; Field, Catherine J; Giesbrecht, Gerald F; Leung, Brenda M; Mcmorris, Carly A; Ross, Kharah M",University of Calgary,Planning and Dissemination Grant - Institute Community Support,201903PCS,Planning and Dissemination - IHDCYH,Celebrating Ten Years: APrON Achievements and Evolution,9998,0,1 yr 0 mth ,1.0,9.21024036697585,2019
"Macmillan, Harriet L; Coben, Jeffrey; Herrman, Helen E; Stewart, Donna E; Wathen, Nadine",McMaster University,"Centres for Research Development in Gender, Mental Health and Addictions - FA",200904RDG,"Centres for Research Development in Gender, Mental Health and Addictions","Centre for Research Development in Gender, Mental Health and Violence Across the Lifespan",2000000,0,5 yrs 0 mth ,0.0,14.508658238524095,2009
"Paqtnekek Health Centre, Health Centre",Direct Payment,Indigenous Gender and Wellness Development Grants,201910IWD,Indigenous Gender and Wellness Development Grants,Ceremonies of Life: Sexual and Gender Wellness through Togetherness,43773,0,1 yr 0 mth ,1.0,10.68679531280403,2019
"Blair, Alexandra",Université de Montréal,Doctoral: Vanier Canada Graduate Scholarships,201411CGV,Vanier Canada Graduate Scholarships CIHR,Cervical Cancer Screening In Urban Areas,150000,0,3 yrs 0 mth ,0.0,11.918397239722838,2014
"Datta, Geetanjali D",Centre hospitalier de l'Université de Montréal (CHUM),Operating Grant - Priority Announcement: Population Health Interventions,201203POH,Health Services Evaluation & Interventions Research 2,Cervical Cancer Screening in Urban Areas: Contributions of Traditional and Spatial Analyses of a Population Health Database to Inform the Improved Provision of Health Services on the Island of Montreal,120000,0,2 yrs 0 mth ,0.0,11.695255355062795,2012
"Yang, Qiuying",Ottawa Hospital Research Institute,Catalyst Grant: Maternal and Child Health,200809CMC,Maternal and Child Health: Secondary Analysis of Provincial and National Databases,"Cesarean delivery on maternal request in Ontario, Canada.",24500,250,0 yr 9 mths ,0.75,10.106469212026385,2008
"Koehoorn, Mieke W",University of British Columbia,"Chair: Gender, Work and Health",201210CGW,"Chair: Gender, Work and Health","Chair:  Gender, Work and Health",800000,0,5 yrs 0 mth ,0.0,13.592368256649284,2012
"Ridde, Valéry",Centre hospitalier de l'Université de Montréal (CHUM),Applied Public Health Chair,201405CPP,IPPH / PHAC Applied Public Health Chair,Chaire REALISME: REcherches AppLiquees Interventionnelles en Santé Mondiale et Equité,925000,0,5 yrs 0 mth ,0.0,13.73755009757506,2014
"Colquhoun, Amy",Direct Payment,Travel Awards - Institute Community Support,201205ISU,Institute of Population and Public Health - Travel Awards,Challenges in Conducting Northern Community-Driven Research Created by Differing Knowledge Systems and World Views: a Researcher's Perspective,2150,0,0 yr 1 mth ,0.08333333333333333,7.67368812926773,2012
"Seguin, Jean R; Parent, Sophie","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Project Grant,201603PJT,Project Grant Competition,Challenges to the vulnerable child in the transitions from preschool to grade school in a pregnancy cohort,1513711,0,5 yrs 0 mth ,0.0,14.230075470313869,2016
"Gagné, Thierry",Université de Montréal,Travel Awards - Institute Community Support,201802ISU,Institute of Cancer Research,Challenging the study of health inequalities during young adulthood: smoking in the Canadian National Population Health Survey as a case example,1000,0,1 yr 0 mth ,1.0,6.90875477931522,2018
"Wong, Josephine Pui-Hing",Toronto Metropolitan University,CIHR Café Scientifique Program,201205SCI,CIHR Café Scientifique Program,"Champions Across Boundaries: Voices of Ethnoracial Faith, Media, Social Justice and PHA Leaders Against HIV Stigma",3000,0,1 yr 0 mth ,1.0,8.006700845440367,2012
"Patte, Karen; Carsley, Sarah; Laxer, Rachel E; Vanderloo, Leigh M",Brock University (Ontario),"Op Gr:Understanding/mitigating impacts of COVID-19 on children, youth & families",202107UIP,"Understanding/mitigating impacts of COVID-19 on children, youth & families",Changes in Health behaviours among Adolescents and Social-Ecological influences: Pandemic Evidence for an Equitable Recovery (The CHASE PEER Study),149700,0,1 yr 0 mth ,1.0,11.916395250412128,2021
"Pugh, Caitlin M","Simon Fraser University (Burnaby, B.C.)",Travel Awards - Institute Community Support,201701ISU,Summer Program in Aging,"Changes in Physical Activity among Older Adults after a New Greenway Development in Vancouver, BC",950,0,1 yr 0 mth ,1.0,6.85751406254539,2017
"Lee, Alex",University of Western Ontario,Master's Award: Frederick Banting and Charles Best Canada Graduate Scholarships,200902CGM,Canada Graduate Scholarships Master's Awards B,Changes in risk behaviour among Canadian injection drug users who attend needle exchange programs,17500,0,1 yr 0 mth ,1.0,9.770013301136158,2009
"Moffat, Christina Sally",McMaster University,Planning Grants,201210KPE,Planning Grants,"Changing homes, changing food: immigrant dietary change and nutritional health",24090,0,1 yr 0 mth ,1.0,10.089593605747774,2012
"Faust, Lena",McGill University,Doctoral Research Award: Canada Graduate Scholarships,201911FBD,Doctoral Research Awards - B,Characterising the effect of PM2.5 air pollution exposure on tuberculosis (TB) treatment outcomes and TB-associated mortality in a high TB burden setting,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2019
"Tahir, Emad",Université Laval,Travel Awards - Institute Community Support,201707ISU,Institute of Indigenous Peoples' Health,Characteristics of anemia and iron status and their associations with blood manganese and lead among children aged from 3 to 19 years old from four First Nation communities in Quebec,2800,0,1 yr 0 mth ,1.0,7.937731775260109,2017
"Perumal, Nandita",Hospital for Sick Children (Toronto),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201410GSD,Doctoral Research Awards - B,Characterization and development of a 'multidimensional micronutrient vulnerability index' to identify and reach populations at risk for micronutrient deficiencies,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2014
"Clark, Crystal",Women's College Hospital (Toronto),Project Grant,202403PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Characterization of Reproductive Mental Health among Black Birthing Canadians,306000,0,3 yrs 0 mth ,0.0,12.631343648903034,2024
"Cheung, Winson Y; Cuthbert, Colleen A",University of Calgary,Project Grant,202010PJT,"Public, Community & Population Health",Characterizing Chronic Opioid Use in Cancer Patients,504900,0,3 yrs 0 mth ,0.0,13.132117649435262,2020
"Eiboff, Faith L","Simon Fraser University (Burnaby, B.C.)",Master's Award: Canada Graduate Scholarships,201002GSM,Canada Graduate Scholarships Master's Awards B,Characterizing Gender Differences among the Homeless Mentally Ill: The First Members of a Vancouver Cohort,17500,0,1 yr 0 mth ,1.0,9.770013301136158,2010
"Hood, Kalli M",University of British Columbia,Health System Impact Fellowships - Doctoral Western Canada  1-year,202203IF4,Health System Impact Fellowship doctoral trainees (IHSPR DRA),Characterizing and diagnosing the source of lead in drinking water in British Columbia,17500,0,1 yr 0 mth ,1.0,9.770013301136158,2022
"Labonté, Marie-Ève",Université Laval,Project Grant,202104PJT,"Nutrition, Food & Health",Characterizing and monitoring the healthfulness of the food supply: a fundamental step towards creating healthier food environments,585225,0,4 yrs 6 mths ,0.0,13.279753376396112,2021
"Andrade Rivas, Federico",University of British Columbia,Doctoral: Vanier Canada Graduate Scholarships,201711CGV,Vanier Canada Graduate Scholarships CIHR,"Characterizing chemical pollution to support the establishment of healthier alternatives: Addressing pesticide contamination among the Cayambe Indigenous community, Ecuador",150000,0,3 yrs 0 mth ,0.0,11.918397239722838,2017
"Bruneau, Julie",Centre hospitalier de l'Université de Montréal (CHUM),Operating Grant: Data Analysis - Healthy Cities Intervention Research,201910DA4,Data Analysis Using Existing Databases and Cohorts,"Characterizing mortality rates and associated modifiable determinants among people who inject drugs in a large, urban Canadian city: Implications for future population health interventions",70000,0,1 yr 0 mth ,1.0,11.156264806643742,2019
"Janjua, Naveed Z; Binka, Mawuena",University of British Columbia,Catalyst Grant: STBBI Research in Canada: Beyond HIV/AIDS/Hepatitis C - General,202106SC1,Catalyst Grant - STBBI Research in Canada: Beyond HIV/AIDS and Hepatitis C,"Characterizing the disease burden from hepatitis B virus in British Columbia, Canada",99990,0,1 yr 0 mth ,1.0,11.512835460919986,2021
"Cotie, Lisa M",Ottawa Heart Institute Research Corporation (Ontario),Travel Awards - Institute Community Support,201607ISU,Institute of Circulatory and Respiratory Health,Characterizing vascular health in female nurses in the Champlain region of Ontario.,1000,0,1 yr 0 mth ,1.0,6.90875477931522,2016
"King, Alexandra; Morin, Veronique; O'Hearn, Tracy","Communities, Alliances & Networks (Saskatchewan)",Project Grant,201709PJT,Indigenous Health Research,CheckUp: Time to focus on and learning from Inuit.,1005975,0,3 yrs 0 mth ,0.0,13.821468772498395,2017
"Ferlatte, Olivier; Dumont Blais, Alexandre",Université de Montréal,Catalyst Grant: HIV/AIDS and STBBI Community-Based Research,201910CDP,HIV/AIDS Community-Based Research (merged),ChemStory: community produced podcasts to spark conversations about Chemsex and HIV Prevention,39976,0,1 yr 0 mth ,1.0,10.596059567720177,2019
"Le, Xiaochun C",University of Alberta,Operating Grant: Health Effects of the Alberta Wildfires - Other,201610EA4,Health Effects of the Alberta Wildfires,Chemical Contaminants in Traditional Foods from Fort McKay and Fort Chipewyan: Before and After the Wildfires,500000,0,2 yrs 0 mth ,0.0,13.122365377402328,2016
"Flores-Aranda, Jorge M; Hedrich, Tanguy",Université du Québec à Montréal,Catalyst Grant: HIV/AIDS CBR Program - General Stream,202305CDE,HIV/AIDS and STBBI Community-Based Research (General stream) Merged,Chemsex après 55 ans : parcours de vie des hommes de la diversité sexuelle et de genre et des personnes non-binaires,99961,0,1 yr 0 mth ,1.0,11.512545392751932,2023
"Ferlatte, Olivier; Dumont Blais, Alexandre",Université de Montréal,Operating Grant - HIV/AIDS CBR Program - General,202204CBR,HIV/AIDS Community-Based Research - General Stream (Merged),"Chemstory: community produced podcasts to broaden knowledge and spark conversations about sex, drugs, prevention, and community",449931,0,3 yrs 0 mth ,0.0,13.016851739216957,2022
"Elias, Brenda D; Busby, Karen L",University of Manitoba,"Planning Grants - PA: First Nations, Inuit or Métis Planning Activities",201110PME,Planning Grants,"Cherishing water, claiming health: a planning symposium on water as a holistic health right.",25000,0,1 yr 0 mth ,1.0,10.12667110305036,2011
"Laperrière, Hélène; Blanchard, Michèle; Legaré, Hélène; Richer, Thérèse",University of Ottawa,Catalyst Grant: HIV/AIDS CBR Program - General Stream,201104CDE,HIV/AIDS Community-Based Research - General Stream (Merged),"Chez nous, c'est chez toi : une étude exploratoire sur le logement et le VIH au Québec",31530,0,1 yr 0 mth ,1.0,10.358726467862368,2011
"Afifi, Tracie O",University of Manitoba,Project Grant - Priority Announcement: Population and Public Health,202309PAA,"Public, Community & Population Health 2","Child Abuse, Sex, Gender Identity, Sexual Identity, Mental Health and Substance Use in Canada: A Nationally Representative Canadian Study",100000,0,1 yr 0 mth ,1.0,11.51293546492023,2023
"Aucoin, Janet F",University of Calgary,Doctoral Research Award: Canada Graduate Scholarships,202011FBD,Doctoral Research Awards - B,Child Bicyclist Injuries and the Built Environment: A Case-Crossover Study,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2020
"Ram, Usha",Unity Health Toronto,CANADA-HOPE Scholarship Program / Fellowship,201003CH1,Canada-HOPE Scholarships,Child Health and Mortality in India: action at the sub-national level to improve national child survival,46000,0,2 yrs 0 mth ,0.0,10.736418414365376,2010
"Drengson, Jane R",University of Victoria (British Columbia),Master's Award: Canada Graduate Scholarships,201202GSM,Canada Graduate Scholarships Master's Awards B,"Child Health in an Informal Urban Settlement; Implications of maternal occupation, household income and family structure",17500,0,1 yr 0 mth ,1.0,9.770013301136158,2012
"Baral, Prativa",Direct Payment,Doctoral Award: Doctoral Foreign Study Award (DFSA),201910DFD,Doctoral Research Awards - B,Child Marriage in Climate-Induced Humanitarian Settings : the Indirect Effects of the Nepali Earthquake on its Children and Adolescents,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2019
"Morrongiello, Barbara A",University of Guelph,Operating Grant,200809MOP,Social & Developmental Aspects of Children's & Youth's Health,"Child Pedestrian Injury: Advancing research methods, knowledge of injury etiology, and prevention approaches",481869,0,4 yrs 0 mth ,0.0,13.08542964711101,2008
"Rothman, Linda",Hospital for Sick Children (Toronto),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201010GSD,Doctoral Research Awards - B,Child pedestrian injury in the City of Toronto: The role of the built environment and active school transportation,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2010
"Ali, Elena",University of Calgary,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201710GSD,Doctoral Research Awards - B,Child's Behavioral Problems: Prenatal Anxiety Programming Effects and Moderation by Maternal-Child Attachment Security and Child's Sex,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2017
"Amed, Shazhan",University of British Columbia,Patient-Oriented Research Collaboration Grants,201511PEG,Patient Engagement - Collaboration Grants (SPOR),Child-sized KT - Engaging kids and families in research at BC Children's Hospital,14914,0,1 yr 0 mth ,1.0,9.61012269694885,2015
"Kobor, Michael S",University of British Columbia,Project Grant,202003PJT,Social & Developmental Aspects of Children's & Youth's Health,Childhood Epigenetic Age Deviations and Developmental Differences (CEAD3),1067176,0,5 yrs 0 mth ,0.0,13.880527402187116,2020
"Liu, Sam X",University of Victoria (British Columbia),Project Grant,201909PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health","Childhood Obesity Management Using Innovative Digital Technology: A ""Real World"" Randomized Community Trial",443700,0,4 yrs 0 mth ,0.0,13.002906191139534,2019
"Hamel, Andrea E","Simon Fraser University (Burnaby, B.C.)",Doctoral Research Award - PA: Nutrition and Childhood Development (SHOPP),201010DNC,Doctoral Research Awards - B,Childhood Obesity and Inadequate Nutrition: An Exploration of Meal Time Consistency as a Potential Protective Factor,72000,0,3 yrs 0 mth ,0.0,11.184435286790631,2010
"Heroux, Mariane L","Queen's University (Kingston, Ontario)",Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,200910GSD,Doctoral Research Awards - B,Childhood Obesity: An International Perspective,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2009
"Chan, Sherilynn F",University of British Columbia,Master's Award: Canada Graduate Scholarships,201002GSM,Canada Graduate Scholarships Master's Awards B,Childhood Socioeconomic Status and Family Environment: Predictors of Cardiovascular Disease,17500,0,1 yr 0 mth ,1.0,9.770013301136158,2010
"Fuertes, Elaine I",Direct Payment,Travel Awards - Institute Community Support,201201ISU,Institute of Circulatory and Respiratory Health,"Childhood allergic rhinitis, traffic-related air pollution, and the role of genetic variability in the oxidative stress pathway. Results from the TAG Study.",1400,0,0 yr 1 mth ,0.08333333333333333,7.244941546337007,2012
"Lawson, Joshua A",University of Saskatchewan,Planning Grants: Priority Announcement - Reproductive and Child Health,201202MRP,Planning Grants,Childhood asthma: An international research initiative,24148,0,1 yr 0 mth ,1.0,10.091998250355894,2012
"Vergunst, Francis","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",CIHR Fellowship,201910MFE,Health Research Training A - Post-PhD (HTA),Childhood disruptive behavioural profiles - improving economic participation through early screening and prevention,112500,0,2 yrs 6 mths ,0.0,11.630717389475995,2019
"Sicotte, Roxanne",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,CIHR Fellowship,202310MFE,Allied Health Professionals - Fellowships,Childhood emotional and behavioural problems and their association with hospitalizations for suicide attempts: a life course perspective,110000,0,2 yrs 0 mth ,0.0,11.608244735642321,2023
"Godbout, Natacha",Université du Québec à Montréal,Project Grant,201604PJT,Project Grant Competition,Childhood interpersonal trauma and psycho-relational health: systemic effects in emerging adult couples,100000,0,1 yr 0 mth ,1.0,11.51293546492023,2016
"Minh, Anita",University of British Columbia,Doctoral Research Award: CGS-D to Honour Nelson Mandela,201610HMD,Special Cases - Awards Programs,Childhood mental health and future employment in the welfare state: A cross-national comparison of five longitudinal cohorts,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2016
"Hansen-Ketchum, Patricia A; Guertin, Marc-André; Hancock, Trevor; Chabot, Guylaine; Gagnon, Marie-Pierre",St. Francis Xavier University (Nova Scotia),Knowledge Synthesis Grant,201304KRS,Knowledge Synthesis Grant,Children and youth engagment with nature and their health: A scoping review of interventions,49995,0,1 yr 0 mth ,1.0,10.819698281210112,2013
"Higgins, Kristen S",Dalhousie University (Nova Scotia),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201410GSD,Doctoral Research Awards - B,Children of Parents with Chronic Pain,105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2014
"Yantzi, Nicole; Coholic, Diana",Laurentian University of Sudbury,"Planning Grants - PA: Integrated health services, Developmental Origins of hlth",201306PIH,Planning Grants,Children's Health Research Integration Stimulus Project(CHRISP):Community Based Research Collaborations in Northeastern Ontario,24865,0,1 yr 0 mth ,1.0,10.121256687512883,2013
"Mclaren, Coralee M",University of Toronto,CIHR Fellowship,201002MFE,Allied Health Professionals - Fellowships,Children's Movement in an Integrated Kindergarten Classroom: What Can Their Bodies Do?,110000,0,2 yrs 0 mth ,0.0,11.608244735642321,2010
"Colley, Paige",University of Western Ontario,Travel Awards - Institute Community Support,201901ISU,CPHA Conference,Children's Perceptions of the Ontario Student Nutrition Program's Farm-to-School Initiative in Southwestern Ontario,1500,0,1 yr 0 mth ,1.0,7.313886831633462,2019
"Morrongiello, Barbara A",University of Guelph,Project Grant,201709PJT,Social & Developmental Aspects of Children's & Youth's Health,Children's Street Crossing Behaviours and Pedestrian Injury Risk,481950,0,5 yrs 0 mth ,0.0,13.085597728113997,2017
"Elliott, Susan J",University of Waterloo (Ontario),Planning Grants,201110KPE,Planning Grants,"Children's health and the environment: Knowledge synthesis, dissemination and mobilization",24920,0,1 yr 0 mth ,1.0,10.123466100507182,2011
"Traboulsee, Anthony; Wu, Zhiying",University of British Columbia,China-Canada Joint Health Research Initiative,200903CCI,China-Canada Joint Health Research Initiative - Grants Program,China Canada Multiple Sclerosis Study,150000,0,3 yrs 0 mth ,0.0,11.918397239722838,2009
"Noels, Kimberly",University of Alberta,"Operating Grant: COVID-19 - Social dynamics, communication and trust",202002OV6,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,"Chinese and non-Chinese Canadians Response to the 2019 Novel Coronavirus (COVID-19): Interrelations between Risk Perception, Discrimination, and Preventative Health Actions",219580,0,2 yrs 0 mth ,0.0,12.299476463927183,2020
"Sim, Sarah Meaghan",Dalhousie University (Nova Scotia),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201010GSD,Doctoral Research Awards - B,"Choice or circumstance? An exploration of breastfeeding practice among obese, low income, food insecure Nova Scotian mothers",105000,0,3 yrs 0 mth ,0.0,11.561725152903833,2010
"Sims-Gould, Joanie; Herman, Matthew S; Mckay, Heather A",University of British Columbia,Project Grant,201610PJT,Project Grant Competition,"Choose to Move:  Impact and Implementation Evaluation of a Program to Enhance Older Adult Physical Activity, Mobility and Health",726752,0,4 yrs 0 mth ,0.0,13.496341946379578,2016
"Deschenes, Sonya S",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,CIHR Fellowship,201511MFE,Health Research Training A - Post-PhD (HTA),Chronic Depression and Anxiety as Risk Factors for Type 2 Diabetes: The Moderating Role of Systemic Inflammation,90000,0,2 yrs 0 mth ,0.0,11.407576060361786,2015
