Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Côté, Sylvana; Dennis, Cindy-Lee E; Mâsse, Benoît R","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Project Grant - PA: CMA Foundation - Virtual Care,202104PNN,Randomized Controlled Trials 2,Starting before birth: Preventing maternal mental health problems via a virtual and partner-inclusive intervention,"                      $0","                      $0","1 yr 0 mth "
"Côté, Sylvana; Dennis, Cindy-Lee E; Mâsse, Benoît R","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",O. Gr.: Addr. the Health Impacts of COVID-19 - Imp. of def/disp care on health,202111WI1,Operating Grant : Addressing the Wider Health Impacts of COVID-,Reducing Maternal Perinatal Mental Health Problems in Times of Service Shortage: A web and telephone-based Intervention,"                $534,018","                      $0","2 yrs 0 mth "
"Cotie, Lisa M",Ottawa Heart Institute Research Corporation (Ontario),Travel Awards - Institute Community Support,201607ISU,Institute of Circulatory and Respiratory Health,Characterizing vascular health in female nurses in the Champlain region of Ontario.,"                  $1,000","                      $0","1 yr 0 mth "
"Cotterchio, Michelle",Ontario Health - CCO - Cancer Care Ontario (Toronto),Operating Grant: Priority Announcement (IPPH),200809IPA,"Public, Community & Population Health - A",Dietary phytoestrogen intake and the risk of breast cancer according to estrogen- and progesterone-receptor (ERPR) subgroup,"                 $38,296","                      $0","1 yr 0 mth "
"Cotterchio, Michelle",Ontario Health - CCO - Cancer Care Ontario (Toronto),Operating Grant,201003MOP,"Public, Community & Population Health 2","Association between allergy history, immunologic genetic variants and pancreatic cancer risk","                $625,293","                      $0","3 yrs 0 mth "
"Coulaud, Pierre-julien",University of British Columbia,Planning and Dissemination Grant - Institute Community Support,201909PCS,Planning and Dissemination - INMHA,Establishing an international research collaboration to improve health outcomes associated with cannabis use among 2SLGBTQ+ youth,"                 $19,992","                      $0","1 yr 0 mth "
"Coulaud, Pierre-julien",University of British Columbia,CIHR Fellowship,202012MFE,Health Research Training A - Post-PhD (HTA),Improving young adults' experiences with and access to digital health interventions in the context of COVID-19 and beyond,"                $135,000","                      $0","3 yrs 0 mth "
"Coulaud, Pierre-julien; Jauffret-Roustide, Marie; Knight, Rodney E",University of British Columbia,Planning and Dissemination Grant - Institute Community Support,202202PCS,Planning and Dissemination - IHDCYH,FOCUS on KTE capacity: Advancing research capacity and knowledge mobilization of youth health across Canada and France,"                  $9,998","                      $0","1 yr 0 mth "
"Courneya, Kerry S; Culos-Reed, S.Nicole; Friedenreich, Christine M; Mcneely, Margaret L; Vallance, Jeffrey K",University of Alberta,"Team Grant: Physical Activity, Mobility and Health (full application)",200910PAF,"Team Grant: Physical Activity, Mobility and Health",CIHR Team in Physical Activity and Breast Cancer Survivorship.,"              $2,389,487","                $110,513","5 yrs 0 mth "
"Courneya, Kerry S; Culos-Reed, S.Nicole; Friedenreich, Christine M; Mcneely, Margaret L; Vallance, Jeffrey K",University of Alberta,"Team Grant: Physical Activity, Mobility and Health (LOI)",200901PAL,"Team Grant: Physical Activity, Mobility and Health",CIHR Team in Physical Activity and Breast Cancer Survivorship.,"                 $10,000","                      $0","1 yr 0 mth "
"Courtemanche, Yohann",Université Laval,Doctoral Research Award: Canada Graduate Scholarships,202311FBD,Doctoral Research Awards - B,"Consommation de cannabis chez les femmes enceintes, issues de grossesse et santé du nouveau-né","                $105,000","                      $0","3 yrs 0 mth "
"Couture-Lalande, Marie-Ève",University of Ottawa,Master's Award: Frederick Banting and Charles Best Canada Graduate Scholarships,200902CGM,Canada Graduate Scholarships Master's Awards B,Le rôle du partenaire amoureux dans la prévalence du catastrophisme chez la personne rapportant de la douleur chronique : Comparaison entre la théorie du conditionnement opérant et la théorie de l'attachement,"                 $17,500","                      $0","1 yr 0 mth "
"Couture, Marie-Claude",Direct Payment,CIHR Fellowship,200810MFE,Health Research Training A - Post-PhD (HTA),Use of ampethamine-type substances and HIV/STI transmission among female sex workers in Cambodia,"                $150,000","                      $0","3 yrs 0 mth "
"Couture, Marie-Eve",Dalhousie University (Nova Scotia),Travel Awards - Institute Community Support,201501ISU,"Institute of Human Development, Child and Youth Health",A qualitative study of drinking to cope with depression,"                  $1,000","                      $0","1 yr 0 mth "
"Couture, Vincent",Direct Payment,CIHR Fellowship,201611MFE,Health Research Training A - Post-PhD (HTA),"L'âge paternel avancé en procréation assistée : un phénomène émergent à la croisée des enjeux médicaux, sociaux et éthiques","                $150,000","                      $0","3 yrs 0 mth "
"Covelli, Andrea M; Dryden, OmiSoore H",Sinai Health System (Toronto),Project Grant - PA: Patient-Oriented Research: Early-Career Investigator,202303PJM,"Psychosocial, Sociocultural & Behavioural Determinants of Health",Understanding the Lived Experiences of Black People with Breast Cancer in Atlantic Canada,"                $100,000","                      $0","1 yr 0 mth "
"Cowan-Dewar, Jessica A","Queen's University (Kingston, Ontario)",Doctoral Research Award - PA: Health Services/Pop. Health HIV/AIDS Research,200810IDR,Doctoral Research Awards - B,"Alternative Masculinities and Resilience to Gender-based Violence and HIV/AIDS in Rural KwaZulu-Natal, South Africa","                 $66,000","                      $0","3 yrs 0 mth "
"Cox, John J; Hamelin, Anne-Marie",McGill University,Operating Grant,201103MOP,"Public, Community & Population Health",Prospective investigation of the relationship between food insecurity and health and behavioural outcomes in HIV-HCV co-infection: clues for prevention interventions,"                $449,650","                      $0","3 yrs 6 mths "
"Cox, John J; Grace, Daniel; Hart, Trevor A; Jollimore, Jody; Lachowsky, Nathan J; Lambert, Gilles; Moore, David M",Research Institute of the McGill University Health Centre,Project Grant,201809PJT,"Public, Community & Population Health 2","Antiretroviral-based HIV prevention and its impact on sexual risk behaviours and HIV/STIs among gay, bisexual and other men who have sex with men: Engage Cohort Study","              $2,673,676","                      $0","4 yrs 0 mth "
"Cox, John J; Dumont Blais, Alexandre",Research Institute of the McGill University Health Centre,CIHR Café Scientifique Program - Institute of Gender and Health,202303CS6,Special Cases,Lessons Learned from Engage Montréal: Study End Meeting,"                  $8,000","                      $0","1 yr 0 mth "
"Cox, Lizebeth M",University of Western Ontario,Doctoral Research Award - Aging,200810SIA,Doctoral Research Awards - B,Investigating the 'Quality Chasm': Seniors' Perspectives on Optimizing Chronic Disease Management in Their Communities,"                 $44,000","                      $0","2 yrs 0 mth "
"Cox, Lori V; Ipsiroglu, Osman S",University of British Columbia,Cat. Gr.: Indig. Appr. to Wellness Research - Wellness in circ./resp. health,201710IA4,Indigenous Approaches to Wellness Research,'Two Eyed Seeing' in Identification of Risk Factors for Iron Deficiency,"                $149,219","                      $0","1 yr 0 mth "
"Cox, Lori V; Ipsiroglu, Osman S",University of British Columbia,Operating Grant: Network Environments for Indigenous Health Research- Dev Grants,201806NEH,Network Environments for Indigenous Health Research (NEIHR),Development of the Wabanaki (Eastern Doorway) Children's Health Research Network,"                 $74,988","                      $0","1 yr 0 mth "
"Cox, Susan M",University of British Columbia,Project Grant,201803PJT,"Humanities, Social Sciences, Law & Ethics in Health",Do you really know what I want?: Voices of people with dementia in shared decision-making about living well to the end of life,"                $191,250","                      $0","3 yrs 0 mth "
"Cragg, Jacquelyn J; Lysyshyn, Mark; Bach, Paxton J",University of British Columbia,Operating Grant: Methamphetamine and related psychostimulant use,201909MPU,Methamphetamine and related psychostimulant use,In the shadows of the opioid crisis: the epidemiology and impact of methamphetamine use in Canada,"                $100,000","                      $0","1 yr 0 mth "
"Cragg, Jacquelyn J; Lynd, Larry D",University of British Columbia,Project Grant,202104PJT,"Public, Community & Population Health","Predictive modeling in multiple sclerosis: using real world data to inform practice, policy, and research","                $470,475","                      $0","4 yrs 0 mth "
"Cragg, Jacquelyn J",University of British Columbia,CIHR-IMHA Inclusive Research Excellence Prizes - Open Science,202302RE3,Other : CIHR-IMHA Inclusive Research Excellence Prizes,Establishing best practices to support open science in traumatic spinal cord injury research,"                 $25,000","                      $0","1 yr 0 mth "
"Crago, Anna-Louise",University of British Columbia,Fellowship - Priority Announcement - HIV/AIDS and/or STBBI,202110HIV,Health Research Training A - Post-PhD (HTA),Structural Correlates of STBBI Risks Among Sex Workers and Qualitative Analysis of Injection Drug-Using Sex Workers' Risk Environments Under End-Demand Legislation: Phase 2 of a 5-City Study,"                 $45,000","                      $0","1 yr 0 mth "
"Craig, Shelley; Lawless, Maura",University of Toronto,Catalyst Grant: HIV/AIDS CBR Program - General Stream,201304CDE,HIV/AIDS Community-Based Research (merged),Community-Based Affirmative Coping Skills Training to Reduce HIV/AIDS Risk for Sexual Minority Youth: An Open Pilot Feasibility Study,"                 $32,861","                      $0","1 yr 0 mth "
"Craig, Shelley",University of Toronto,CIHR Café Scientifique Program,201205SCI,CIHR Café Scientifique Program,"MySpace to be Queer: Queer Youth, New Media & Health Promotion","                  $3,000","                      $0","1 yr 0 mth "
"Craig, Stephanie G","Simon Fraser University (Burnaby, B.C.)",Master's Award: Canada Graduate Scholarships,201002GSM,Canada Graduate Scholarships Master's Awards B,The relationship between depression and substance use in adolescences: The protective role of family and social influences,"                 $17,500","                      $0","1 yr 0 mth "
"Craig, Wendy M","Queen's University (Kingston, Ontario)",Team Grant: Early origins of addiction in children & youth (Canada - Finland)LOI,201003TMC,Special Cases,"Youths peer support, bullying, psychosocial well-being and addictive behaviours in childhood and adolescence","                 $10,000","                      $0","0 yr 6 mths "
"Cramm, Heidi; Spinks, Nora; MacDermid, Joy C; Mahar, Alyson L; Norris, Deborah A","Queen's University (Kingston, Ontario)",Team Grant: Mental Wellness in Public Safety Team Grants - LOI,201903MWL,Team Grant: Mental Wellness in Public Safety Team Grants - LOI,HomeBase: Enhancing mental wellness in public safety personnel families,"                 $30,000","                      $0","0 yr 6 mths "
"Cramm, Heidi; Spinks, Nora; MacDermid, Joy C; Mahar, Alyson L; Norris, Deborah A","Queen's University (Kingston, Ontario)",Team Grant: Mental Wellness in Public Safety Team Grants,201911MWP,Team Grant: Mental Wellness in Public Safety Team Grants - Full Application,HomeBase: Enhancing mental wellness in public safety personnel families,"                $722,083","                      $0","3 yrs 0 mth "
"Cramp, Anita G",University of Western Ontario,Dissemination Events - Priority Announcement: Cancer Research,201206DCA,Dissemination Events Grants,Cancer Care Talks: Engaging the Community in Cancer-Related Symptom Self-Management,"                 $24,354","                      $0","1 yr 0 mth "
"Cramp, Anita G",University of Western Ontario,Fellowship - Prize: Knowledge Translation Supplement,201010EDK,Health Research Training A - Post-PhD (HTA),Social media delivered exercise-aided smoking prevention and cessation pilot studies,"                  $5,000","                      $0","1 yr 0 mth "
"Cramp, Anita G",University of Western Ontario,CIHR Fellowship,201010MFE,Health Research Training A - Post-PhD (HTA),Social media delivered exercise-aided smoking prevention and cessation pilot studies,"                 $41,250","                      $0","0 yr 11 mths "
"Crawford, Lindsay A",Direct Payment,Science Policy Fellowships,201312SPF,Science Policy Fellowships,"Habitat Protection Policy Development; Policy, Communication and Regulatory Affairs Directorate, Pest Management Regulatory Agency, Health Canada; Lars Jergensen, Head of Policy and Strategic Advice.","                 $49,727","                      $0","1 yr 0 mth "
"Creating Hope Society, Of Alberta; Iahtail, Bernadette",Direct Payment,Indigenous Gender and Wellness Development Grants,201910IWD,Indigenous Gender and Wellness Development Grants,"Creating Safe Paths for Indigenous Women, Girls and LGBTQ2SA+ Individuals in Edmonton and Area","                 $75,000","                      $0","1 yr 0 mth "
"Creating Hope Society, Of Alberta; Albert, Jason; Iahtail, Bernadette; Long, David A",Direct Payment,Team Grant: Indigenous Gender and Wellness Team Grant,202107IWT,Indigenous Gender and Wellness Team Grants,"Remembering ""Right Relationships"": Traditional and Land-Based Indigenous Knowledge and Practices as Intervention for Gender-Based Violence","                $482,300","                      $0","3 yrs 0 mth "
"Crighton, Eric J; Smith, Graeme N",University of Ottawa,Project Grant,201903PJT,Health Services Evaluation & Interventions Research 3,Integrating Prenatal Environmental Health Education into Clinical Care in Canada: The PEHE Study,"                $378,676","                      $0","3 yrs 0 mth "
"Crisan, Anamaria",University of British Columbia,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201410GSD,Doctoral Research Awards - B,"Bridging gaps in Tuberculosis (TB) research: Developing statistical, computational, and information visualization tools for the interpretation of large-scale genomic and population datasets to improve TB prevention and control in British Columbia","                $105,000","                      $0","3 yrs 0 mth "
"Crizzle, Alexander M",University of Waterloo (Ontario),Travel Awards - Institute Community Support,201505ISU,Institute of Population and Public Health - Travel Awards,Health and wellness concerns of Canadian commercial motor vehicle drivers,"                  $1,500","                      $0","1 yr 0 mth "
"Crizzle, Alexander M",University of Waterloo (Ontario),Travel Awards - Institute Community Support,201409ISU,Institute of Population and Public Health - Travel Awards,Health and wellness in commercial motor vehicle drivers in Canada: A review of the literature,"                  $1,500","                      $0","1 yr 0 mth "
"Crizzle, Alexander M",University of Waterloo (Ontario),Planning and Dissemination Grant - Institute Community Support,201508PCS,Planning and Dissemination - IA,Investigator Meeting: Planning a National Study to Improve the Health and Wellness of Canadian Commercial Motor Vehicle Drivers,"                 $15,200","                      $0","1 yr 0 mth "
"Crizzle, Alexander M",University of Saskatchewan,Planning and Dissemination Grant - Institute Community Support,201702PCS,Planning and Dissemination - HIV/AIDS and/or STBBIs,Developing Priorities and Research Initiatives to Address HIV among Aboriginal Communities in Saskatchewan,"                 $14,282","                      $0","1 yr 0 mth "
"Crocker, Anne G",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201109MOP,"Psychosocial, Sociocultural & Behavioural Determinants of Health","GOING HOME - Recovery and community reintegration of mentally ill men and women discharged from hospital: A prospective, longitudinal study of forensic psychiatric patients","                $669,349","                      $0","4 yrs 6 mths "
"Crooks, Claire V",Centre for Addiction and Mental Health (Toronto),Applied Public Health Chair - LOI,201310LCP,IPPH / PHAC Applied Public Health Chair - Letter of Intent,Building capacity for effective mental health promotion in educational and community settings with Aboriginal and non-Aboriginal populations,"                      $0","                      $0","0 yr 1 mth "
"Crooks, Claire V",Centre for Addiction and Mental Health (Toronto),Operating Grant: Population Health Intervention Research,201212GIR,Operating Grant: Population Health Intervention Research,Understanding the impact of adapting and implementing an evidence-based mental health promotion program: The Mental Health First Aid-First Nations initiative,"                $198,481","                  $1,350","0 yr 1 mth "
"Crooks, Valorie A","Simon Fraser University (Burnaby, B.C.)",Planning and Dissemination Grant - Institute Community Support,201708PCS,Planning and Dissemination - INMHA,Dementia management across borders for Canadian 'snowbirds': Exploring community and social network formation abroad as facilitating quality of life,"                 $17,765","                      $0","1 yr 0 mth "
"Crosschild, Chloe F",University of British Columbia,Doctoral Research Award: Canada Graduate Scholarships,202011FBD,Doctoral Research Awards - B,Iitsim'kaatsita: Enhancing relations between Indigenous women and registered nurses. Journeying toward transformative reconciliation to foster maternal health equity.,"                $105,000","                      $0","3 yrs 0 mth "
"Crowcroft, Natasha S",University of Toronto,Operating Grant: Health Systems Research on H1N1,201001H1N,Operating Grant: Health Systems Research on H1N1,The use of evidence in developing public health policies for H1N1,"                 $97,656","                      $0","1 yr 0 mth "
"Crowcroft, Natasha S",Public Health Ontario (Toronto),Planning/Dissemination Grants - IPPH - ICS - Artificial Intelligence  - General,201711PD4,Planning and Dissemination - IPPH Artificial Intelligence,Planning for Syndemics,"                 $19,375","                      $0","1 yr 0 mth "
"Crowcroft, Natasha S",Public Health Ontario (Toronto),Planning and Dissemination Grant - Institute Community Support,201608PCS,Planning and Dissemination - III,Maximizing the impact of immunization programs in Canada: bridging the gap between research and policy,"                 $10,000","                      $0","1 yr 0 mth "
"Crowshoe, Lynden L; Henderson, Rita I; Montesanti, Stephanie R",University of Calgary,Planning and Dissemination Grant - Institute Community Support,201508PCS,Planning and Dissemination - IIPH,Popular Theatre & Community Arts for Indigenous Youth Health Promotion: Developing a National Strategy,"                 $11,000","                      $0","1 yr 0 mth "
"Crowshoe, Lynden L; Crowshoe, Reg; Tailfeathers, Esther; Eurich, Dean; Green, Lee A; Green, Michael E; Henderson, Rita I; Kennedy, Andrea; Montesanti, Stephanie R; Murry, Adam T; Roach, Pamela Marie",University of Calgary,Team Gr: Diabetes Prevention & Treatment in Indigenous Communities: R&W - LOI,202105DPL,Diabetes Prevention and Treatment in Indigenous Communities: Resili. and Well. LOI,"Social and Cultural Mechanisms of Diabetes: Relational Knowledge Generation, Gathering and Exchange","                 $34,980","                      $0","1 yr 0 mth "
"Crowshoe, Lynden L; Crowshoe, Reg; Tailfeathers, Esther; Eurich, Dean; Green, Lee A; Green, Michael E; Henderson, Rita I; Montesanti, Stephanie R; Roach, Pamela Marie",University of Calgary,Team Grant: Diabetes Prevention and Treatment in Indigenous Communities: R&W,202210DRW,Diabetes Prev. and Treat. in Indigenous Communities: Resilience and Wellness,"Social and Cultural Mechanisms of Resilience and Wellness with Diabetes: Relational Knowledge Generation, Gathering and Exchange","              $1,986,890","                      $0","5 yrs 0 mth "
"Croxall, Lindsay C",University of Ottawa,Travel Awards - Institute Community Support,201701ISU,National Gathering of Graduate Students and New Investigator Meeting,First Nation Elders who use Wheeled Mobility: An Exploration of Culture and Health.,"                  $1,650","                      $0","1 yr 0 mth "
"Croxall, Lindsay C",University of Ottawa,Travel Awards - Institute Community Support,201707ISU,Institute of Indigenous Peoples' Health,First Nation Elders who use wheeled mobility: an exploration of culture and health,"                  $1,307","                      $0","1 yr 0 mth "
"Crozier, Gillian K",Laurentian University of Sudbury,CIHR Café Scientifique Program,201305SCI,CIHR Café Scientifique Program,"Thinking about Responsibility, Environment, and Northern Community Health: How different conceptions of responsibility can matter for the health of our communities and our environment","                  $3,000","                      $0","1 yr 0 mth "
"Crush, Jonathan; Zhong, Taiyang","Wilfrid Laurier University (Waterloo, Ontario)",Operating Grant: COVID-19 - Public health response and its impact,202002OV7,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Assessing and Mitigating the Food Security Consequences of COVID-19 in China,"                      $0","                      $0","2 yrs 0 mth "
"Crush, Jonathan; Arya, Akshaya N; Martens, Cheryl; Si, Zhenzhong; Tevera, Daniel","Wilfrid Laurier University (Waterloo, Ontario)",Op. Gr.: Addr. the Wider Impacts of COVID- Exacerb. of disp. among marg. pops.,202111WI3,Operating Grant : Addressing the Wider Health Impacts of COVID-,"Assessing and Mitigating the Food Insecurity Consequences of COVID-19 Public Health Measures on Marginalized Refugees and Migrants in Canada, Latin America and Africa","                $499,967","                      $0","2 yrs 0 mth "
"Cullen, Kimberley L",Memorial University of Newfoundland,Travel Awards - Institute Community Support,201901ISU,IPPH - Starting Investigators Workshop Travel Bursaries,"Will that work here? Advancing evidence-informed decision-making in work disability prevention policy, practice and research efforts.","                  $1,500","                      $0","1 yr 0 mth "
"Culos-Reed, S.Nicole",University of Calgary,Team Grant: CCS/CIHR Cancer Survivorship Team Grants,201909CAS,CCS/CIHR Cancer Survivorship Team Grants,"Dissemination, Implementation, and Effectiveness of the Exercise Oncology Survivorship Partnership Model: Reaching Rural Cancer Survivors to Enhance Quality of Life","              $1,113,855","                      $0","5 yrs 0 mth "
"Cunningham, Charles E",McMaster University,Operating Grant,201203MOP,Social & Developmental Aspects of Children's & Youth's Health,"Avoiding the Backlash: Identifying Features of Bullying Prevention Programs that Increase or Decrease Unintended Negative Responses (Reactance) in Grade 5, 6, 7, and 8 Students and Educators.","                $460,530","                      $0","3 yrs 0 mth "
"Cunningham, John A",Centre for Addiction and Mental Health (Toronto),Operating Grant,201009MOP,Randomized Controlled Trials,Randomized controlled trial of the mass distribution of Nicotine Replacement Therapy to Canadian smokers,"              $1,082,459","                      $0","5 yrs 0 mth "
"Cunningham, John A",Centre for Addiction and Mental Health (Toronto),Operating Grant,201209MOP,Randomized Controlled Trials,Randomized controlled trial of a minimal versus extended Internet-based intervention for problem drinkers,"                $440,904","                      $0","4 yrs 0 mth "
"Cunningham, John A",Centre for Addiction and Mental Health (Toronto),Project Grant,201909PJT,Health Services Evaluation & Interventions Research 2,Targeting mailed nicotine patch distribution interventions to rural regions of Canada: Randomized controlled trial,"                $520,199","                      $0","3 yrs 0 mth "
"Curnew, Kylie H",Dalhousie University (Nova Scotia),"CIHR Strategic Master's Award - First Nations, Inuit and/or Métis Health",202312MA2,Strategic Master's Award,Trends and Determinants of Socioeconomic Inequalities in the Prevalence of Chronic Diseases within Indigenous Peoples Living Off-Reserve in Canada: 2001-2022,"                 $17,500","                      $0","1 yr 0 mth "
"Currie, Cheryl L; Copeland, Jennifer L; Metz, Gerlinde",University of Lethbridge (Alberta),Operating Grant - Priority Announcement: Aboriginal Ways of Knowing,201303ESA,Aboriginal Peoples' Health,What Social Determinants Contribute to High Allostatic Load among Aboriginal Adults?,"                $195,404","                      $0","3 yrs 0 mth "
"Cusimano, Michael D",Unity Health Toronto,Team Grant: Strategic Teams in Applied Injury Research - Full application,200912TIR,Strategic Team in Applied Injury Research,CIHR Team in Traumatic Brain Injury and Violence,"              $1,733,131","                 $16,869","5 yrs 0 mth "
"Cusimano, Michael D",Unity Health Toronto,Project Grant,202109PJT,"Public, Community & Population Health 2","Effects of Recreational Cannabis Legalization on Polysubstance Use, Mental Health, and Injury in Canada: The RCL IMPACT Study","                $650,252","                      $0","4 yrs 0 mth "
"Cutumisu, Nicoleta",Centre hospitalier de l'Université de Montréal (CHUM),Travel Awards - Institute Community Support,201409ISU,Institute of Population and Public Health - Travel Awards,How the built environment and population deprivation influence the reach of community-based activities emerging following a multimedia communication campaign: Results from Operation Wixx,"                  $2,500","                      $0","1 yr 0 mth "
"Cutumisu, Nicoleta",Direct Payment,Travel Awards - Institute Community Support,201309ISU,Institute of Population and Public Health - Travel Awards,Operation Wixx: The role of neighbourhood walkability in influencing active transportation to school among preadolescents living in urban environments across Quebec,"                  $2,500","                      $0","0 yr 3 mths "
"Cyr, Gaëlle",Université du Québec à Montréal,Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201710GSD,Doctoral Research Awards - B,"Les symptômes de trouble de stress post-traumatique, de trouble de stress post-traumatique complexe et de trouble de la personnalité limite chez les adultes ayant vécu des traumas interpersonnels durant l'enfance : le rôle des représentations cognitives","                $105,000","                      $0","3 yrs 0 mth "
"Cyr, Jeffrey; Wicklow, Brandy A",Direct Payment,Team Gr: Diabetes Prevention & Treatment in Indigenous Communities: R&W - LOI,202105DPL,Diabetes Prevention and Treatment in Indigenous Communities: Resili. and Well. LOI,"Indigenous Diabetes Reduction Bond: piloting customized, community-driven wellness interventions and outcomes measures in four First Nations communities","                 $35,000","                      $0","1 yr 0 mth "
"Cyr, Mireille",Université de Montréal,Operating Grant,201203MOP,Social & Developmental Aspects of Children's & Youth's Health,Memory and stress related to medical examination among sexually abused children,"                $213,654","                      $0","3 yrs 0 mth "
"Czoli, Christine D",University of Waterloo (Ontario),Doctoral Award - Frederick Banting and Charles Best Canada Graduate Scholarships,201310GSD,Doctoral Research Awards - B,"Prevalence, perceptions, and chemical constituents of electronic cigarettes in Canada: Evidence to inform policy","                $105,000","                      $0","3 yrs 0 mth "
"Czoli, Christine D",University of Waterloo (Ontario),Doctoral: Vanier Canada Graduate Scholarships,201311CGV,Vanier Canada Graduate Scholarships CIHR,"Prevalence, perceptions, and chemical constituents of electronic cigarettes in Canada: Evidence to inform policy","                $150,000","                      $0","3 yrs 0 mth "
"Czoli, Christine D",University of Ottawa,Health System Impact Fellowships - PostDoc Central Canada 2 year,201705HI5,Fellowship : Health System Impact Fellowships Post Doctoral Fellows (IHSPR FE),Obesity prevention in Canada: Fiscal policy interventions to reduce consumption of sugary drinks,"                $108,500","                      $0","2 yrs 0 mth "
"Czyzewski, Karina",Direct Payment,Travel Awards - Institute Community Support,201405ISU,Institute of Indigenous Peoples' Health,"The Impact of Resource Extraction on Inuit Women and Families in Qamani'tuaq, Nunavut Territory","                  $2,500","                      $0","0 yr 3 mths "
"Czyzewski, Karina",University of British Columbia,Travel Awards - Institute Community Support,201601ISU,HIV/AIDS and/or other Sexually Transmitted and Blood-borne Infections (STBBIs).,"Assertive HIV Treatment and Care among Women living with HIV: Support, Privacy and Self-Determination","                  $2,500","                      $0","1 yr 0 mth "
"da Costa, Bruno G",Nipissing University (North Bay),CIHR Fellowship,202110MFE,Health Research Training A - Post-PhD (HTA),Joint associations of volume and type of sedentary behaviour and physical activity with the mental health of adolescents from Northeastern Ontario: A longitudinal study,"                 $90,000","                      $0","2 yrs 0 mth "
"Da Costa, Deborah M; Nguyen, Tuong-Vi",Research Institute of the McGill University Health Centre,Op Gr: COVID-19 MH/SU - Developing Innovative Adaptations of Services/Delivery,202007MS2,COVID-19 Mental Health & Substance Use Service Needs and Delivery,Acceptability and Impact of a Prenatal Internet Intervention for Promoting Maternal Mental Health in the COVID-19 Context,"                $177,960","                      $0","1 yr 0 mth "
"Da Costa, Deborah M",Research Institute of the McGill University Health Centre,Project Grant,202209PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health",Evaluating Acceptability and Feasibility of an Enhanced Digital Intervention for Preventing Postpartum Mental Health Difficulties in Fathers,"                $218,025","                      $0","2 yrs 5 mths "
"Da Costa, Deborah M",Research Institute of the McGill University Health Centre,Project Grant,202209PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health",Mental Health in Individuals with Autoimmune Rheumatic Diseases During the Transition to Parenthood: A Mixed Methods Study to Identify Associated Factors and Support Needs,"                $198,900","                      $0","2 yrs 6 mths "
"Da Costa, Laura A",University of Toronto,Master's Award: Frederick Banting and Charles Best Canada Graduate Scholarships,200902CGM,Canada Graduate Scholarships Master's Awards A,Genetic modifiers of coffee intake on cardiovascular disease risk,"                 $17,500","                      $0","1 yr 0 mth "
"Dagenais, Béatrice",Université de Montréal,Travel Awards - Institute Community Support,201901ISU,CPHA Conference,Foodservice manager perspectives on the feasibility of sustainable menu practices in Quebec healthcare institutions,"                  $1,000","                      $0","1 yr 0 mth "
"Dagenais, Christian; Berthelette, Diane",Université de Montréal,Knowledge Synthesis Grant,200910KRS,Knowledge Synthesis Grant,La recherche sur l'application des connaissances par les intervenants et les décideurs en santé publique: une scoping study,"                 $30,136","                      $0","1 yr 0 mth "
"Dahinten, Susan V; Kohen, Dafna E",University of British Columbia,Operating Grant: Population Health Intervention Research - LOI,201003LIR,Population Health Intervention Research - LOI,Using Administrative Data to Evaluate a Population-Based Parenting Intervention,"                      $0","                      $0","1 yr 0 mth "
"Dahlgren, Leanne S",University of British Columbia,Operating Grant,200909MOP,Aboriginal Peoples' Health,Fetal and Infant Mortality and Serious Neonatal Morbidity among Status Indians in British Columbia,"                $256,697","                      $0","3 yrs 0 mth "
"Daigneault, Isabelle",Université de Montréal,Project Grant,201710PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health",Implantation et efficacité d'un programme de prévention de l'agression sexuelle pour les étudiantes en milieu universitaire : Les milieux sont-ils prêts et le programme est-il efficace lorsque plusieurs facteurs de risque sont présents?,"                $100,000","                      $0","1 yr 0 mth "
"Daigneault, Isabelle",Université de Montréal,Project Grant,201809PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health",Préimplantation et implantation d'un programme de prévention de l'agression sexuelle pour les étudiantes en milieu universitaire : Les milieux sont-ils prêts et le programme est-il efficace lorsque plusieurs facteurs de risque sont présents?,"                $696,149","                      $0","4 yrs 6 mths "
"Dainty, Katie N",Unity Health Toronto,Catalyst Grant: Ethics,201603EPP,Catalyst Grant : Ethics (2016-2017),Pan-Canadian Public Consultation Regarding Alternative Consent Models in Adult Emergency Care Research,"                 $99,544","                      $0","2 yrs 0 mth "
"Dainty, Katie N; Zambon, Sandra",Unity Health Toronto,Planning and Dissemination Grant - Institute Community Support,201508PCS,Planning and Dissemination - ICRH,The Canadian Cardiac Arrest Witness Registry Think Tank: Working together to build an interactive citizen engagement opportunity,"                 $25,000","                      $0","1 yr 0 mth "
